,params,perc_distance,precision_micro_train,precision_macro_train,precision_weighted_train,recall_micro_train,recall_macro_train,recall_weighted_train,f1_micro_train,f1_macro_train,f1_weighted_train,accuracy_train,precision_micro_test,precision_macro_test,precision_weighted_test,recall_micro_test,recall_macro_test,recall_weighted_test,f1_micro_test,f1_macro_test,f1_weighted_test,accuracy_test
0,"(2, (0, 1), (150, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.7173173617272995,0.7828859804791481,0.78,0.7200000000000001,0.78,0.78,0.7176243567753002,0.7806425100057176,0.78
1,"(2, (0, 1), (150, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76,0.6922713529856388,0.7641014739229024,0.76,0.6933333333333334,0.76,0.76,0.6924107638393352,0.7617323153037439,0.76
2,"(2, (0, 1), (150, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82,0.7749177090190914,0.8260862409479921,0.82,0.7733333333333334,0.82,0.82,0.7687349687349686,0.818975468975469,0.82
3,"(2, (0, 1), (150, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6904761904761904,0.7678571428571428,0.75,0.7000000000000001,0.75,0.75,0.6861598440545809,0.7514619883040936,0.75
4,"(2, (0, 1), (200, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.79,0.7279411764705882,0.7959558823529411,0.79,0.7200000000000001,0.79,0.79,0.7106242248863167,0.7829681686647376,0.79
5,"(2, (0, 1), (200, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7449165366245802,0.7945364590722087,0.8,0.7333333333333334,0.8,0.8000000000000002,0.734430770426374,0.7935415244217222,0.8
6,"(2, (0, 1), (200, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.81,0.7533206831119544,0.8100885515496521,0.81,0.7466666666666667,0.81,0.81,0.7422699911187132,0.8042272458142824,0.81
7,"(2, (0, 1), (200, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.84,0.8215229215229215,0.8565268065268066,0.84,0.7866666666666666,0.84,0.8399999999999999,0.7848433626324093,0.8337305611899931,0.84
8,"(2, (0, 1), (200, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8788907753254103,0.9091680814940577,0.9,0.8666666666666667,0.9,0.9,0.8647186147186147,0.898538961038961,0.9
9,"(2, (0, 1), (200, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.7212745098039216,0.7859558823529411,0.78,0.7133333333333334,0.78,0.78,0.70395755821965,0.7729681686647376,0.78
10,"(2, (0, 1), (200, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.7301282051282051,0.7975961538461539,0.78,0.7266666666666666,0.78,0.78,0.6992723680732363,0.7667223172920405,0.78
11,"(2, (0.1, 0.9), (50, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82,0.7657045840407471,0.8242784380305602,0.82,0.7600000000000001,0.82,0.82,0.7564935064935066,0.8173701298701299,0.82
12,"(2, (0.1, 0.9), (50, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.81,0.75,0.8125,0.81,0.7466666666666667,0.81,0.81,0.7441077441077443,0.8080808080808082,0.81
13,"(2, (0.1, 0.9), (50, 300))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.86,0.8189410444312405,0.8593038225391166,0.86,0.8133333333333334,0.86,0.8599999999999999,0.8147574986631233,0.85859287647259,0.86
14,"(2, (0.1, 0.9), (50, 350))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87,0.8333333333333334,0.875,0.87,0.8266666666666667,0.87,0.87,0.8249158249158249,0.8686868686868686,0.87
15,"(2, (0.1, 0.9), (50, 400))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.79,0.7393650793650793,0.7995238095238095,0.79,0.7266666666666667,0.79,0.79,0.7155555555555555,0.7816666666666666,0.79
16,"(2, (0.1, 0.9), (50, 450))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.72,0.6501610305958132,0.7321859903381642,0.72,0.66,0.72,0.72,0.6441812809759817,0.7175109607319863,0.72
17,"(2, (0.1, 0.9), (50, 500))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76,0.6992481203007519,0.7744360902255639,0.76,0.7066666666666667,0.76,0.76,0.6931818181818182,0.759469696969697,0.76
18,"(2, (0.1, 0.9), (100, 200))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.79,0.7361111111111112,0.8020833333333335,0.79,0.7333333333333334,0.79,0.79,0.7186404349824697,0.7838782854205257,0.79
19,"(2, (0.1, 0.9), (100, 250))",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.7182349813928761,0.7886762360446571,0.78,0.7200000000000001,0.78,0.78,0.7115880835092657,0.7785890218156228,0.78
